ID,Days,Name,AcIn,DA,EA,EO,DA_order,SatWeekDay,SunWeekDay,Sent,groupType
1,,OTHER,True,True,False,False,11,False,False,True,5
2,0.0,SAME DAY,True,True,False,False,1,True,True,True,1
6,3.0,THIRD DAY,True,True,False,False,5,False,False,True,4
7,5.0,ECONOMY (3-5 DAYS),False,False,False,False,99,False,False,True,5
8,1.0,EXPRESS (Next Day),False,True,False,False,99,False,False,True,2
9,2.0,STANDARD (2 DAYS),False,False,False,False,0,False,False,True,0
10,1.0,SPECIAL,True,False,True,True,12,False,False,True,11
11,1.0,OVERNIGHT,True,False,True,False,12,False,False,True,12
12,5.0,WHITE GLV Signature+,True,True,False,False,99,False,False,True,9
13,,PREMIUM,True,False,True,False,99,False,False,True,12
14,,STANDARD,True,False,True,True,12,False,False,True,5
15,,ECONOMY,True,False,True,False,99,False,False,True,12
16,,LTL,True,True,False,False,11,False,False,True,6
17,0.0,NFO,True,True,False,False,0,True,True,True,1
18,,OTC,False,True,True,True,99,False,False,True,11
19,1.0,NEXT DAY,True,True,False,False,3,False,False,True,2
20,2.0,SECOND DAY,True,True,False,False,4,False,False,True,3
21,5.0,DEFERRED 3-5 DAY,True,True,False,False,6,False,False,True,5
22,,TRUCK LOAD (FTL),True,True,False,False,7,False,False,True,7
23,,CROSS DOCK,False,False,False,False,0,False,False,True,8
24,,LOCAL,True,True,False,False,8,False,False,True,18
25,,STORAGE / WAREHOUSE,True,True,True,True,12,False,False,True,8
26,,AIR CHARTER,True,False,True,False,12,False,False,True,17
27,,AIR EXPORT,True,False,True,False,12,False,False,True,12
28,,AIR IMPORT,True,False,True,False,12,False,False,True,13
29,,EXPRESS/COURIER,False,False,True,False,99,False,False,True,12
30,,ONBOARD COURIER,True,False,True,False,12,False,False,True,12
31,,FCL EXPORT,True,False,False,True,12,False,False,True,14
32,,FCL IMPORT,True,False,False,True,12,False,False,True,15
33,,LCL EXPORT,True,False,False,True,12,False,False,True,14
34,,LCL IMPORT,True,False,False,True,12,False,False,True,15
35,,BULK IMPORT,True,False,False,True,12,False,False,True,15
36,,BULK EXPORT,True,False,False,True,12,False,False,True,14
37,,VESSEL CHARTER,False,False,False,True,0,False,False,True,0
38,4.0,FOUR DAY,True,True,False,False,11,False,False,True,19
39,,DOMESTIC OCEAN,True,True,False,False,99,False,False,True,5
40,,COMAT,True,True,True,True,51,False,False,True,5
41,,HOT SHOT/EXCLUSIVE,True,True,False,False,11,False,False,True,10
42,1.0,NEXT DAY SATURDAY,False,False,False,False,99,True,False,True,2
43,5.0,HOME-PROPERTY DEL,False,True,False,False,14,False,False,True,9
44,5.0,THRESHOLD,True,True,False,False,15,False,False,True,9
45,5.0,HOME-PLACEMENT DEL,False,True,False,False,16,False,False,True,9
46,5.0,HOME-SETUP DEL,False,False,False,False,17,False,False,True,9
47,,EXPRESS LETTER,False,False,True,False,99,False,False,True,12
48,,EXPRESS PACKAGE,True,False,True,False,12,False,False,True,12
49,,FCL EXP COMPANY B/L,True,False,False,True,12,False,False,True,14
50,,FCL IMP COMPANY B/L,True,False,False,True,12,False,False,True,15
51,,FTL EXPORT,True,False,True,False,12,False,False,True,12
52,,FTL IMPORT,True,False,True,False,12,False,False,True,13
53,,LTL EXPORT,True,False,True,False,12,False,False,True,6
54,,LTL IMPORT,True,False,True,False,12,False,False,True,6
55,,STANDARD LETTER,True,False,True,False,99,False,False,True,12
56,,STANDARD PACKAGE,True,False,True,False,12,False,False,True,12
57,,XINTERNATIONAL-AIR,True,False,True,False,53,False,False,True,12
58,,XINTERNATION-OCEAN,True,False,False,True,53,False,False,True,14
59,5.0,XPHARM-DEF 3-5 PR,False,False,False,False,99,False,False,True,5
60,1.0,XPHARM-NEXT DAY PR,False,False,True,False,99,False,False,True,2
61,2.0,XPHARM-SECOND DAY PR,False,False,True,False,99,False,False,True,3
62,,XPHARM-STANDARD PR,False,False,True,False,0,False,False,True,0
63,2.0,XPUERTO RICO-2 DAYS,False,False,False,False,0,False,False,True,0
64,3.0,XPUERTO RICO-3 DAYS,False,False,False,False,0,False,False,True,0
65,4.0,XPUERTO RICO-4 DAYS,False,False,False,False,0,False,False,True,0
66,5.0,XPUERTO RICO-5 DAYS,False,False,False,False,0,False,False,True,0
67,0.0,XPUERTO RICO-NFO,False,False,False,False,0,False,False,True,0
68,1.0,XPUERTO RICO-OVN,False,False,False,False,0,False,False,True,0
69,2.0,XAIR FREIGHT-2 DAYS,False,False,False,False,99,False,False,True,3
70,3.0,XAIR FREIGHT-3 DAYS,False,False,False,False,99,False,False,True,4
71,4.0,XAIR FREIGHT-4 DAYS,False,False,False,False,99,False,False,True,5
72,5.0,XAIR FREIGHT-5 DAYS,False,False,False,False,99,False,False,True,5
73,,XAIR FREIGHT-DISPSL,False,False,False,False,99,False,False,True,8
74,,XAIR FREIGHT-NFO,False,False,False,False,99,False,False,True,1
75,1.0,XAIR FREIGHT-OVN,False,False,False,False,99,False,False,True,2
76,,XAIR FREIGHT-STORAGE,False,True,False,False,99,False,False,True,8
77,2.0,"XAK, HI-2 DAYS",False,False,False,False,99,False,False,True,3
78,3.0,"XAK, HI-3 DAYS",False,False,False,False,99,False,False,True,4
79,4.0,"XAK, HI-4 DAYS",False,False,False,False,99,False,False,True,5
80,5.0,"XAK, HI-5 DAYS",False,False,False,False,99,False,False,True,5
81,1.0,"XAK,HI-OVERNIGHT",False,False,False,False,99,False,False,True,2
82,,"XALASKA, HAWAII-NFO",False,False,False,False,99,False,False,True,1
83,2.0,XPHARM-2ND DAY AKHI,False,True,False,False,99,False,False,True,3
84,3.0,XPHARM-3 DAY DEL,False,False,False,False,99,False,False,True,4
85,5.0,XPHARM-DEF 3-5 AKHI,False,True,False,False,99,False,False,True,5
86,5.0,XPHARM-DEF 3-5 DAYS,False,True,False,False,99,False,False,True,5
87,1.0,XPHARM-NEXT DAY,False,True,False,False,99,False,False,True,2
88,1.0,XPHARM-NEXT DAY AKHI,False,True,False,False,99,False,False,True,2
89,2.0,XPHARM-SECOND DAY,False,True,False,False,99,False,False,True,3
90,,XPHARM-STANDARD,False,True,False,False,99,False,False,True,5
